scenario_id,num_of_threads,bucket,query_id,cartesian_product,probability,running_time,improvement_factor
7,1,1,3,432,{0.5=0.0485639391283696},23872,1.000000
7,2,1,3,432,{0.5=0.04856393912836963},13232,1.804111
7,4,1,3,432,{0.5=0.04856393912836993},7270,3.283631
7,6,1,3,432,{0.5=0.04856393912836972},5939,4.019532
7,8,1,3,432,{0.5=0.048563939128369704},5144,4.640747
7,10,1,3,432,{0.5=0.048563939128370065},5222,4.571429
7,12,1,3,432,{0.5=0.048563939128370065},5180,4.608494
7,14,1,3,432,{0.5=0.048563939128370065},5022,4.753485
7,16,1,3,432,{0.5=0.048563939128370065},5015,4.760119
7,18,1,3,432,{0.5=0.048563939128370065},5028,4.747812
7,20,1,3,432,{0.5=0.048563939128370065},5126,4.657043
7,22,1,3,432,{0.5=0.048563939128370065},5056,4.721519
7,24,1,3,432,{0.5=0.048563939128370065},5056,4.721519
8,1,1,3,144,{0.5=0.940833605919817},36338,1.000000
8,2,1,3,144,{0.5=0.9408336059198223},18645,1.948941
8,4,1,3,144,{0.5=0.940833605919823},11104,3.272514
8,6,1,3,144,{0.5=0.940833605919823},8564,4.243111
8,8,1,3,144,{0.5=0.940833605919823},8801,4.128849
8,10,1,3,144,{0.5=0.940833605919823},8695,4.179183
8,12,1,3,144,{0.5=0.940833605919823},8759,4.148647
8,14,1,3,144,{0.5=0.940833605919823},8552,4.249064
8,16,1,3,144,{0.5=0.940833605919823},8596,4.227315
8,18,1,3,144,{0.5=0.940833605919823},8713,4.170550
8,20,1,3,144,{0.5=0.940833605919823},8769,4.143916
8,22,1,3,144,{0.5=0.940833605919823},8644,4.203841
8,24,1,3,144,{0.5=0.940833605919823},8620,4.215545
9,1,1,3,288,{0.5=0.3238976670488451},32515,1.000000
9,2,1,3,288,{0.5=0.32389766704884637},17455,1.862790
9,4,1,3,288,{0.5=0.3238976670488465},12756,2.548996
9,6,1,3,288,{0.5=0.3238976670488465},9983,3.257037
9,8,1,3,288,{0.5=0.32389766704884604},8176,3.976884
9,10,1,3,288,{0.5=0.32389766704884604},7951,4.089423
9,12,1,3,288,{0.5=0.32389766704884604},7840,4.147321
9,14,1,3,288,{0.5=0.32389766704884604},7824,4.155803
9,16,1,3,288,{0.5=0.32389766704884604},7838,4.148380
9,18,1,3,288,{0.5=0.32389766704884604},7843,4.145735
9,20,1,3,288,{0.5=0.32389766704884604},8175,3.977370
9,22,1,3,288,{0.5=0.32389766704884604},7936,4.097152
9,24,1,3,288,{0.5=0.32389766704884604},7901,4.115302
10,1,1,3,252,{0.5=1.633353723132965E-4},80533,1.000000
10,2,1,3,252,{0.5=1.633353723132957E-4},45158,1.783361
10,4,1,3,252,{0.5=1.6333537231329493E-4},26394,3.051186
10,6,1,3,252,{0.5=1.6333537231329493E-4},21997,3.661090
10,8,1,3,252,{0.5=1.6333537231329493E-4},21116,3.813838
10,10,1,3,252,{0.5=1.6333537231329493E-4},22077,3.647824
10,12,1,3,252,{0.5=1.6333537231329493E-4},22089,3.645842
10,14,1,3,252,{0.5=1.6333537231329493E-4},20935,3.846812
10,16,1,3,252,{0.5=1.6333537231329493E-4},22239,3.621251
10,18,1,3,252,{0.5=1.6333537231329493E-4},21262,3.787649
10,20,1,3,252,{0.5=1.6333537231329493E-4},21825,3.689943
10,22,1,3,252,{0.5=1.6333537231329493E-4},21171,3.803930
10,24,1,3,252,{0.5=1.6333537231329493E-4},21575,3.732700
16,1,2,3,1008,{0.5=0.999013790298516},33815,1.000000
16,2,2,3,1008,{0.5=0.9990137902985069},16825,2.009807
16,4,2,3,1008,{0.5=0.9990137902985073},9197,3.676742
16,6,2,3,1008,{0.5=0.9990137902985191},7487,4.516495
16,8,2,3,1008,{0.5=0.9990137902985167},7395,4.572684
16,10,2,3,1008,{0.5=0.9990137902985121},7165,4.719470
16,12,2,3,1008,{0.5=0.9990137902985159},7143,4.734005
16,14,2,3,1008,{0.5=0.9990137902985171},7334,4.610717
16,16,2,3,1008,{0.5=0.9990137902985159},7102,4.761335
16,18,2,3,1008,{0.5=0.9990137902985167},7150,4.729371
16,20,2,3,1008,{0.5=0.9990137902985159},7207,4.691966
16,22,2,3,1008,{0.5=0.9990137902985121},7206,4.692617
16,24,2,3,1008,{0.5=0.9990137902985167},7215,4.686764
17,1,2,3,720,{0.5=0.9991362821317954},36411,1.000000
17,2,2,3,720,{0.5=0.9991362821317972},18442,1.974352
17,4,2,3,720,{0.5=0.9991362821317953},10248,3.552986
17,6,2,3,720,{0.5=0.999136282131797},8539,4.264082
17,8,2,3,720,{0.5=0.9991362821317941},8108,4.490750
17,10,2,3,720,{0.5=0.9991362821317941},8016,4.542290
17,12,2,3,720,{0.5=0.9991362821317941},8016,4.542290
17,14,2,3,720,{0.5=0.9991362821317941},8065,4.514693
17,16,2,3,720,{0.5=0.9991362821317941},8044,4.526479
17,18,2,3,720,{0.5=0.9991362821317941},8030,4.534371
17,20,2,3,720,{0.5=0.9991362821317941},8063,4.515813
17,22,2,3,720,{0.5=0.9991362821317941},8058,4.518615
17,24,2,3,720,{0.5=0.9991362821317941},8105,4.492412
18,1,2,3,756,{0.5=0.8218161962284055},55568,1.000000
18,2,2,3,756,{0.5=0.8218161962284084},29604,1.877044
18,4,2,3,756,{0.5=0.8218161962284115},16951,3.278155
18,6,2,3,756,{0.5=0.8218161962284122},13919,3.992241
18,8,2,3,756,{0.5=0.8218161962284122},12209,4.551396
18,10,2,3,756,{0.5=0.8218161962284122},12357,4.496884
18,12,2,3,756,{0.5=0.8218161962284122},14030,3.960656
18,14,2,3,756,{0.5=0.8218161962284122},12727,4.366151
18,16,2,3,756,{0.5=0.8218161962284122},12519,4.438693
18,18,2,3,756,{0.5=0.8218161962284122},12342,4.502350
18,20,2,3,756,{0.5=0.8218161962284122},12502,4.444729
18,22,2,3,756,{0.5=0.8218161962284122},12384,4.487080
18,24,2,3,756,{0.5=0.8218161962284122},12422,4.473354
19,1,2,3,1764,{0.5=0.04610121894360401},47101,1.000000
19,2,2,3,1764,{0.5=0.04610121894360384},26747,1.760983
19,4,2,3,1764,{0.5=0.046101218943604236},15202,3.098342
19,6,2,3,1764,{0.5=0.046101218943604236},12744,3.695935
19,8,2,3,1764,{0.5=0.04610121894360422},11092,4.246394
19,10,2,3,1764,{0.5=0.046101218943604236},11024,4.272587
19,12,2,3,1764,{0.5=0.04610121894360422},11003,4.280742
19,14,2,3,1764,{0.5=0.04610121894360422},11142,4.227338
19,16,2,3,1764,{0.5=0.046101218943604236},11095,4.245245
19,18,2,3,1764,{0.5=0.04610121894360422},11115,4.237607
19,20,2,3,1764,{0.5=0.046101218943604236},11080,4.250993
19,22,2,3,1764,{0.5=0.046101218943604236},11095,4.245245
19,24,2,3,1764,{0.5=0.046101218943604215},10926,4.310910
20,1,2,3,1260,{0.5=0.8890072054165439},80759,1.000000
20,2,2,3,1260,{0.5=0.88900720541654},44638,1.809198
20,4,2,3,1260,{0.5=0.8890072054165472},21809,3.703012
20,6,2,3,1260,{0.5=0.8890072054165469},21416,3.770966
20,8,2,3,1260,{0.5=0.8890072054165469},21419,3.770437
20,10,2,3,1260,{0.5=0.8890072054165469},21698,3.721956
20,12,2,3,1260,{0.5=0.8890072054165469},22118,3.651279
20,14,2,3,1260,{0.5=0.8890072054165469},21591,3.740401
20,16,2,3,1260,{0.5=0.8890072054165469},21414,3.771318
20,18,2,3,1260,{0.5=0.8890072054165469},21435,3.767623
20,20,2,3,1260,{0.5=0.8890072054165469},21462,3.762883
20,22,2,3,1260,{0.5=0.8890072054165469},21346,3.783332
20,24,2,3,1260,{0.5=0.8890072054165469},21307,3.790257
