Row Number, Number Of Threads, Top Matching (Probability), Top Matching (MS), Lifted Top Matching (Probability), Lifted Top Matching (MS), Improvement Ratio
0,1,{0.5=0.6673135374893907},185516,{0.5=0.6673135374894041},15468,11.993535
0,3,{0.5=0.6673135374893907},71516,{0.5=0.6673135374893947},6760,10.579290
0,5,{0.5=0.6673135374893907},48824,{0.5=0.667313537489399},4441,10.993920
0,7,{0.5=0.6673135374893906},37736,{0.5=0.6673135374893988},2472,15.265372
0,9,{0.5=0.6673135374893907},27457,{0.5=0.6673135374894013},2479,11.075837
0,11,{0.5=0.6673135374893906},26041,{0.5=0.6673135374893922},2452,10.620310
0,13,{0.5=0.6673135374893908},26223,{0.5=0.6673135374893958},2576,10.179736
0,15,{0.5=0.6673135374893906},26070,{0.5=0.667313537489406},2698,9.662713
0,17,{0.5=0.6673135374893907},17340,{0.5=0.6673135374893925},2668,6.499250
0,19,{0.5=0.6673135374893907},15515,{0.5=0.6673135374894024},2515,6.168986
0,21,{0.5=0.6673135374893908},15740,{0.5=0.6673135374893971},2631,5.982516
0,23,{0.5=0.6673135374893907},15875,{0.5=0.6673135374893966},2647,5.997355
0,25,{0.5=0.6673135374893907},15601,{0.5=0.667313537489397},2655,5.876083
0,27,{0.5=0.6673135374893908},15567,{0.5=0.6673135374894016},2638,5.901062
0,29,{0.5=0.6673135374893908},16764,{0.5=0.667313537489388},2796,5.995708
0,31,{0.5=0.6673135374893907},15314,{0.5=0.667313537489397},2632,5.818389
0,33,{0.5=0.6673135374893908},16021,{0.5=0.6673135374894016},2747,5.832181
0,35,{0.5=0.6673135374893907},17032,{0.5=0.667313537489394},2592,6.570988
0,37,{0.5=0.6673135374893907},15623,{0.5=0.6673135374894023},2564,6.093214
0,39,{0.5=0.6673135374893907},15319,{0.5=0.6673135374894005},2733,5.605196
0,41,{0.5=0.6673135374893906},15745,{0.5=0.6673135374893912},2539,6.201261
0,43,{0.5=0.6673135374893906},15615,{0.5=0.6673135374893931},2522,6.191514
0,45,{0.5=0.6673135374893907},15713,{0.5=0.6673135374893922},2597,6.050443
0,47,{0.5=0.6673135374893908},15853,{0.5=0.667313537489394},2647,5.989044
0,49,{0.5=0.6673135374893908},16800,{0.5=0.6673135374894025},2746,6.117990
1,1,{0.5=0.01602131699551897},92890,{0.5=0.01602131699551893},16631,5.585352
1,3,{0.5=0.016021316995518974},35575,{0.5=0.01602131699551905},7217,4.929334
1,5,{0.5=0.016021316995518974},25282,{0.5=0.016021316995518883},4958,5.099234
1,7,{0.5=0.01602131699551897},24755,{0.5=0.016021316995519067},2738,9.041271
1,9,{0.5=0.016021316995518974},13195,{0.5=0.016021316995519133},2881,4.580007
1,11,{0.5=0.01602131699551897},13955,{0.5=0.016021316995519022},2822,4.945075
1,13,{0.5=0.01602131699551897},14153,{0.5=0.016021316995518935},2693,5.255477
1,15,{0.5=0.01602131699551897},13868,{0.5=0.016021316995519043},2908,4.768913
1,17,{0.5=0.016021316995518974},14018,{0.5=0.016021316995519057},2980,4.704027
1,19,{0.5=0.01602131699551897},13676,{0.5=0.016021316995519078},2780,4.919425
1,21,{0.5=0.01602131699551897},13829,{0.5=0.016021316995519178},2805,4.930125
1,23,{0.5=0.01602131699551897},14199,{0.5=0.016021316995518967},2730,5.201099
1,25,{0.5=0.01602131699551897},13861,{0.5=0.016021316995518894},2772,5.000361
1,27,{0.5=0.01602131699551897},13771,{0.5=0.01602131699551903},2638,5.220243
1,29,{0.5=0.016021316995518974},14568,{0.5=0.016021316995519105},2615,5.570937
1,31,{0.5=0.01602131699551897},13284,{0.5=0.016021316995519123},2827,4.698974
1,33,{0.5=0.01602131699551897},13178,{0.5=0.01602131699551883},2832,4.653249
1,35,{0.5=0.016021316995518974},13498,{0.5=0.016021316995519078},2760,4.890580
1,37,{0.5=0.01602131699551897},13621,{0.5=0.016021316995519137},2653,5.134188
1,39,{0.5=0.01602131699551897},13555,{0.5=0.01602131699551893},2778,4.879410
1,41,{0.5=0.016021316995518967},14137,{0.5=0.016021316995518887},2818,5.016678
1,43,{0.5=0.01602131699551897},13891,{0.5=0.016021316995519154},2660,5.222180
1,45,{0.5=0.016021316995518974},13449,{0.5=0.016021316995518765},2675,5.027664
1,47,{0.5=0.016021316995518974},13910,{0.5=0.01602131699551896},2805,4.959002
1,49,{0.5=0.01602131699551897},13506,{0.5=0.016021316995519078},2705,4.992976
2,1,{0.5=0.585911517727573},91817,{0.5=0.5859115177275797},35160,2.611405
2,3,{0.5=0.585911517727573},34900,{0.5=0.5859115177275815},14541,2.400110
2,5,{0.5=0.585911517727573},23867,{0.5=0.585911517727579},10259,2.326445
2,7,{0.5=0.585911517727573},22783,{0.5=0.5859115177275849},5516,4.130348
2,9,{0.5=0.585911517727573},13967,{0.5=0.5859115177275842},5597,2.495444
2,11,{0.5=0.585911517727573},14395,{0.5=0.5859115177275849},5571,2.583917
2,13,{0.5=0.585911517727573},14522,{0.5=0.5859115177275747},5423,2.677854
2,15,{0.5=0.585911517727573},13831,{0.5=0.5859115177275768},5614,2.463662
2,17,{0.5=0.585911517727573},13882,{0.5=0.5859115177275849},5633,2.464406
2,19,{0.5=0.585911517727573},14218,{0.5=0.5859115177275849},5696,2.496138
2,21,{0.5=0.585911517727573},13881,{0.5=0.5859115177275751},5734,2.420823
2,23,{0.5=0.585911517727573},14032,{0.5=0.5859115177275849},6024,2.329349
2,25,{0.5=0.585911517727573},14229,{0.5=0.5859115177275749},5741,2.478488
2,27,{0.5=0.585911517727573},13910,{0.5=0.5859115177275849},5576,2.494620
2,29,{0.5=0.585911517727573},13486,{0.5=0.5859115177275888},5482,2.460051
2,31,{0.5=0.585911517727573},14121,{0.5=0.585911517727575},5600,2.521607
2,33,{0.5=0.585911517727573},13516,{0.5=0.585911517727585},5941,2.275038
2,35,{0.5=0.585911517727573},13600,{0.5=0.5859115177275763},5589,2.433351
2,37,{0.5=0.585911517727573},13629,{0.5=0.5859115177275811},5822,2.340948
2,39,{0.5=0.585911517727573},13611,{0.5=0.5859115177275849},5696,2.389572
2,41,{0.5=0.585911517727573},13556,{0.5=0.585911517727573},5594,2.423311
2,43,{0.5=0.585911517727573},13566,{0.5=0.5859115177275849},5723,2.370435
2,45,{0.5=0.585911517727573},13917,{0.5=0.585911517727575},5705,2.439439
2,47,{0.5=0.585911517727573},13962,{0.5=0.5859115177275762},5569,2.507093
2,49,{0.5=0.585911517727573},14888,{0.5=0.5859115177275762},5526,2.694173
