scenario_id,num_of_threads,bucket,query_id,cartesian_product,probability,running_time,improvement_factor
1,1,1,1,64,{0.5=0.9462122925090123},488745,1.000000
1,2,1,1,64,{0.5=0.9462122925090123},245149,1.993665
1,4,1,1,64,{0.5=0.9462122925090123},128024,3.817605
1,6,1,1,64,{0.5=0.9462122925090123},87846,5.563657
1,8,1,1,64,{0.5=0.9462122925090123},68487,7.136318
1,10,1,1,64,{0.5=0.9462122925090123},57449,8.507459
1,12,1,1,64,{0.5=0.9462122925090122},48851,10.004810
1,14,1,1,64,{0.5=0.9462122925090122},48199,10.140148
1,16,1,1,64,{0.5=0.9462122925090123},40697,12.009362
1,18,1,1,64,{0.5=0.9462122925090123},41006,11.918865
1,20,1,1,64,{0.5=0.9462122925090123},39253,12.451150
1,22,1,1,64,{0.5=0.9462122925090122},40030,12.209468
1,24,1,1,64,{0.5=0.9462122925090122},35462,13.782218
2,1,1,1,112,{0.5=0.9930505519760963},685231,1.000000
2,2,1,1,112,{0.5=0.9930505519760963},348761,1.964758
2,4,1,1,112,{0.5=0.9930505519760963},182109,3.762752
2,6,1,1,112,{0.5=0.9930505519760962},127179,5.387926
2,8,1,1,112,{0.5=0.9930505519760962},97752,7.009892
2,10,1,1,112,{0.5=0.9930505519760962},86903,7.885010
2,12,1,1,112,{0.5=0.9930505519760962},71056,9.643535
2,14,1,1,112,{0.5=0.9930505519760962},69093,9.917517
2,16,1,1,112,{0.5=0.9930505519760962},61155,11.204823
2,18,1,1,112,{0.5=0.993050551976096},55664,12.310128
2,20,1,1,112,{0.5=0.9930505519760962},54123,12.660625
2,22,1,1,112,{0.5=0.9930505519760963},55667,12.309465
2,24,1,1,112,{0.5=0.993050551976096},49380,13.876691
3,1,1,1,56,{0.5=0.1019529280511317},479078,1.000000
3,2,1,1,56,{0.5=0.1019529280511317},240734,1.990072
3,4,1,1,56,{0.5=0.10195292805113171},124413,3.850707
3,6,1,1,56,{0.5=0.1019529280511317},87780,5.457713
3,8,1,1,56,{0.5=0.1019529280511317},66735,7.178812
3,10,1,1,56,{0.5=0.1019529280511317},57854,8.280810
3,12,1,1,56,{0.5=0.10195292805113171},53240,8.998460
3,14,1,1,56,{0.5=0.1019529280511317},51065,9.381729
3,16,1,1,56,{0.5=0.1019529280511317},42948,11.154839
3,18,1,1,56,{0.5=0.1019529280511317},40658,11.783117
3,20,1,1,56,{0.5=0.1019529280511317},40209,11.914696
3,22,1,1,56,{0.5=0.1019529280511317},39962,11.988338
3,24,1,1,56,{0.5=0.10195292805113168},33427,14.332067
