18_14_20_3,18_12_2,12_20_2,3_18_20,8_2_11,10_4_20_12_11_5_19_8_17_14_13_16_15_2_18_6_7_9_3_1,0.5
18_14_9,19_6_5_8,6_19_17_5,10_3_17_11,2_11_7,12_20_17_13_9_2_16_18_10_1_15_14_6_4_5_3_19_8_7_11,0.5
13_6_7_18,13_11_14_20,18_8_4,17_19_5_15,11_7_9_8,12_15_6_4_11_2_19_10_16_9_18_7_5_8_20_3_13_17_14_1,0.5
17_14_11,16_1_13_15,16_13_4_5,13_20_9_17,4_11_19,10_11_14_17_18_1_6_3_16_5_15_2_13_7_4_9_8_12_20_19,0.5
9_14_16_5,6_7_12_15,17_16_13_12,4_6_16_11,10_15_13,11_4_19_14_18_3_6_17_8_5_9_13_7_12_16_15_20_10_1_2,0.5
1_12_20_8,5_8_20,14_15_18,19_14_16,14_19_12,11_8_12_5_18_16_10_15_13_7_9_14_6_17_1_4_20_3_2_19,0.5
6_16_7_8,8_10_17,20_10_14_7,5_10_2,10_17_3_8,11_16_15_18_7_4_3_5_14_1_12_10_13_8_17_20_6_19_9_2,0.5
2_19_10_1,17_13_18_3,1_10_5,5_8_3,14_16_15_5,11_20_1_4_12_13_19_16_9_10_8_7_17_5_14_6_3_15_2_18,0.5
20_5_8,9_12_10,16_13_14_1,17_14_9_13,7_5_18_15,1_20_3_10_6_15_14_18_12_4_16_11_2_7_17_5_19_9_13_8,0.5
18_2_14_16,2_15_12_9,9_11_3,10_19_3_8,8_10_3_9,10_20_4_18_16_13_12_6_8_7_11_9_14_3_15_1_17_5_2_19,0.5
16_10_11_19,11_2_15_12,20_3_13_15,7_11_2_6,20_19_7,13_5_16_17_9_12_18_6_14_2_20_1_19_4_7_8_11_15_3_10,0.5
5_10_19,8_1_6,12_20_3_13,15_3_14,19_6_20,1_18_17_6_15_7_13_10_8_9_16_4_14_12_19_11_3_5_2_20,0.5
5_9_19_14,10_20_17,20_15_14,13_18_5,1_14_4,11_9_3_18_17_12_16_4_6_2_10_13_5_19_8_15_7_14_20_1,0.5
20_16_3_15,3_14_17_9,17_20_11,15_8_14,16_13_15_8,12_6_18_13_11_2_8_16_9_17_4_7_10_5_15_1_3_19_14_20,0.5
18_5_7_2,17_15_5_20,14_7_9_11,3_14_20,17_20_12_11,14_4_9_7_15_18_16_2_6_19_5_1_8_11_3_12_10_20_13_17,0.5
6_17_20_12,6_1_9_10,14_15_10_8,10_12_14_18,2_17_6,1_2_6_5_8_11_13_17_9_4_3_15_7_12_19_20_18_10_14_16,0.5
1_13_18_5,20_17_19_10,5_9_1_17,1_19_16,19_18_11,17_3_16_19_8_14_13_6_2_9_12_4_10_11_18_15_7_20_1_5,0.5
20_14_10_11,19_14_12,5_13_11_18,12_20_14,12_18_2_15,16_2_3_11_4_13_10_6_8_7_20_19_14_5_15_12_18_17_9_1,0.5
12_18_10,20_5_19_8,17_8_18,19_3_1,19_13_5_6,13_3_10_16_14_17_15_6_19_18_11_8_9_1_4_7_20_5_2_12,0.5
3_15_10_11,2_5_9_15,2_7_5_20,9_3_4_7,15_4_10,13_11_7_18_5_16_20_14_8_12_6_15_19_17_10_2_9_1_3_4,0.5
11_13_17_20,2_9_13_8,7_13_15,20_15_3_11,5_15_1,15_3_16_18_1_5_11_6_8_14_7_13_4_19_20_2_9_10_12_17,0.5
7_9_15_1,1_4_12_18,5_2_1_17,7_15_8_19,18_6_2_17,13_1_4_11_2_7_3_9_19_5_15_10_18_14_8_6_16_12_17_20,0.5
15_9_3_7,13_3_12,15_11_9_1,7_6_3,9_4_15,13_8_16_3_6_17_2_10_4_9_20_7_5_15_19_14_11_1_12_18,0.5
2_18_7_10,20_12_9,5_14_15_12,3_16_1_12,18_14_11_7,14_18_10_6_15_1_17_3_7_11_2_9_16_5_4_8_12_19_13_20,0.5
1_17_14,6_2_20_15,3_18_7_13,3_16_11,2_12_8_4,12_4_20_16_1_13_17_18_8_6_19_10_5_7_15_3_14_11_9_2,0.5
