6_10_16,4_5_11_13_16_18,1_3_9,15_18_19,9_14_17,10_4_20_12_11_5_19_8_17_14_13_16_15_2_18_6_7_9_3_1,0.5
1_5_7_13,4_5_11_13_16_18,1_3_9,1_5_6_7_10_13_16,9_14_17,10_20_4_18_16_13_12_6_8_7_11_9_14_3_15_1_17_5_2_19,0.5
6_10_16,4_5_11_13_16_18,1_3_9,1_5_6_7_10_13_16,9_14_17,1_2_6_5_8_11_13_17_9_4_3_15_7_12_19_20_18_10_14_16,0.5
6_10_16,4_5_11_13_16_18,1_3_9,20,9_14_17,12_20_17_13_9_2_16_18_10_1_15_14_6_4_5_3_19_8_7_11,0.5
6_10_16,4_5_11_13_16_18,1_3_9,4_14,9_14_17,12_15_6_4_11_2_19_10_16_9_18_7_5_8_20_3_13_17_14_1,0.5
6_10_16,4_5_11_13_16_18,1_3_9,1_5_6_7_10_13_16,9_14_17,10_11_14_17_18_1_6_3_16_5_15_2_13_7_4_9_8_12_20_19,0.5
6_10_16,4_5_11_13_16_18,1_3_9,2_3_8_11_12,9_14_17,11_4_19_14_18_3_6_17_8_5_9_13_7_12_16_15_20_10_1_2,0.5
6_10_16,4_5_11_13_16_18,1_3_9,9_17,9_14_17,11_8_12_5_18_16_10_15_13_7_9_14_6_17_1_4_20_3_2_19,0.5
1_5_7_13,4_5_11_13_16_18,1_3_9,15_18_19,9_14_17,11_16_15_18_7_4_3_5_14_1_12_10_13_8_17_20_6_19_9_2,0.5
1_5_7_13,4_5_11_13_16_18,1_3_9,20,9_14_17,11_20_1_4_12_13_19_16_9_10_8_7_17_5_14_6_3_15_2_18,0.5
1_5_7_13,4_5_11_13_16_18,1_3_9,4_14,9_14_17,1_20_3_10_6_15_14_18_12_4_16_11_2_7_17_5_19_9_13_8,0.5
1_5_7_13,4_5_11_13_16_18,1_3_9,1_5_6_7_10_13_16,9_14_17,10_20_4_18_16_13_12_6_8_7_11_9_14_3_15_1_17_5_2_19,0.5
1_5_7_13,4_5_11_13_16_18,1_3_9,2_3_8_11_12,9_14_17,13_5_16_17_9_12_18_6_14_2_20_1_19_4_7_8_11_15_3_10,0.5
1_5_7_13,4_5_11_13_16_18,1_3_9,9_17,9_14_17,1_18_17_6_15_7_13_10_8_9_16_4_14_12_19_11_3_5_2_20,0.5
6_10_16,4_5_11_13_16_18,1_3_9,15_18_19,9_14_17,11_9_3_18_17_12_16_4_6_2_10_13_5_19_8_15_7_14_20_1,0.5
6_10_16,4_5_11_13_16_18,1_3_9,20,9_14_17,12_6_18_13_11_2_8_16_9_17_4_7_10_5_15_1_3_19_14_20,0.5
6_10_16,4_5_11_13_16_18,1_3_9,4_14,9_14_17,14_4_9_7_15_18_16_2_6_19_5_1_8_11_3_12_10_20_13_17,0.5
6_10_16,4_5_11_13_16_18,1_3_9,1_5_6_7_10_13_16,9_14_17,1_2_6_5_8_11_13_17_9_4_3_15_7_12_19_20_18_10_14_16,0.5
6_10_16,4_5_11_13_16_18,1_3_9,2_3_8_11_12,9_14_17,17_3_16_19_8_14_13_6_2_9_12_4_10_11_18_15_7_20_1_5,0.5
6_10_16,4_5_11_13_16_18,1_3_9,9_17,9_14_17,16_2_3_11_4_13_10_6_8_7_20_19_14_5_15_12_18_17_9_1,0.5
1_5_7_13,4_5_11_13_16_18,1_3_9,15_18_19,9_14_17,13_3_10_16_14_17_15_6_19_18_11_8_9_1_4_7_20_5_2_12,0.5
1_5_7_13,4_5_11_13_16_18,1_3_9,20,9_14_17,13_11_7_18_5_16_20_14_8_12_6_15_19_17_10_2_9_1_3_4,0.5
1_5_7_13,4_5_11_13_16_18,1_3_9,4_14,9_14_17,15_3_16_18_1_5_11_6_8_14_7_13_4_19_20_2_9_10_12_17,0.5
1_5_7_13,4_5_11_13_16_18,1_3_9,1_5_6_7_10_13_16,9_14_17,13_1_4_11_2_7_3_9_19_5_15_10_18_14_8_6_16_12_17_20,0.5
1_5_7_13,4_5_11_13_16_18,1_3_9,2_3_8_11_12,9_14_17,13_8_16_3_6_17_2_10_4_9_20_7_5_15_19_14_11_1_12_18,0.5
1_5_7_13,4_5_11_13_16_18,1_3_9,9_17,9_14_17,14_18_10_6_15_1_17_3_7_11_2_9_16_5_4_8_12_19_13_20,0.5
6_10_16,4_5_11_13_16_18,1_3_9,15_18_19,9_14_17,12_4_20_16_1_13_17_18_8_6_19_10_5_7_15_3_14_11_9_2,0.5
